,,,Q_4463,Q_4474,Q_4472,Q_4464,Q_4959,Q_4475,Q_4473,Q_4465,Q_4466,Q_4467,Q_4468,Q_4469,Q_4470,Q_4471,Q_5295,Q_4476,Q_4481,Q_4958,Q_4477,Q_4478,Q_4482,Q_4479,Q_4483,Q_4480,"External ID"
"2022-01-08 12:31:55","2022-01-08 12:31:54",cant-jt1w4,82.01,22.24,6,19.97,N/A,76.49,73.51,6,3,NA,5,75.07,NA,6,N/A,NA,708C1946-23C7-470A-ABDD-7B7F6492F7D6,D6CD9F5F-6A15-41AF-B2C0-D77809C74516,NA,2,6D615382-34F5-4FDD-8E3A-509A277EA1C0,N/A,8EA75E05-2BC7-4BAE-80BF-42C38468C9D6,N/A,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-09 18:53:32","2022-01-09 18:53:30",found-711jx,20.00,19.00,N/A,81.00,N/A,N/A,N/A,5,3,N/A,"3,1",81.00,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08Jan2022
"2022-01-10 04:17:47","2022-01-10 04:17:50",eths-wz1zp,82.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2022-01-10 04:21:16","2022-01-10 04:21:19",eths-wz1zp,86.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2022-01-10 20:12:22","2022-01-10 16:31:28",gawp-51hl2,79.00,76.00,N/A,23.00,N/A,23.00,N/A,5,5,N/A,3,24.00,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09Jan2022Android
"2022-01-11 09:21:17","2022-01-11 09:21:17",cogs-ep5np,83.29,78.19,6,18.56,N/A,24.79,79.04,5,6,NA,2,75.21,NA,6,N/A,NA,N/A,FFB09524-9472-4299-BC1C-0C22C24ACEAC,N/A,N/A,N/A,N/A,N/A,N/A,GetNewID_advanced
"2022-01-12 06:51:34","2022-01-12 06:51:33",mams-k9x34,N/A,54.00,N/A,50.00,N/A,58.00,N/A,7,"2,9",N/A,"4,7,1,2,3,5,6,8,9,10,11,12",25.00,N/A,9,N/A,N/A,b547a879-b554-480f-8208-9af33bf8a1cb,828e6b85-deeb-432e-8029-f553a571feb3,N/A,1,bfa18bea-70ab-4811-a567-ceb51352922c,"4,5",6da5880f-efeb-4495-9785-1b6b1c3bb366,N/A,QRcodeTest_Android
"2022-01-17 08:02:04","2022-01-17 08:02:00",chute-2zm6v,72.00,N/A,N/A,24.00,N/A,N/A,N/A,5,"8,6,5",N/A,"3,1,2,12",23.00,N/A,N/A,N/A,N/A,854b056d-ea16-430f-8917-f5bd4ad2fdb6,def9cc93-8f2b-4b6d-9ebe-151787d07ff6,N/A,2,179c2c8b-78b6-4909-9567-898920a598db,N/A,82a0875a-fb59-4796-ac12-07727b7b7130,N/A,17Jan2022_Android
"2022-01-17 14:22:32","2022-01-17 14:22:32",ceili-pw0jk,87.25,78.05,6,21.67,N/A,19.26,89.38,6,4,NA,5,81.02,NA,5,N/A,NA,577E6AAE-A8DD-4103-BEB6-F3F7E83ED8F2,8238AA0C-0FD0-4992-BA40-067A7D5FB197,NA,2,6347769B-619A-4F90-8814-935911DFB6BB,N/A,6F0DF890-658A-4DB5-A025-8BEE61889013,N/A,"iOS_17Jan2022_updated, iOS_data_check, schedule_check_iOS"
"2022-01-17 15:25:56","2022-01-17 15:25:52",blae-9rj3f,28.00,0.00,N/A,50.00,N/A,99.00,N/A,5,"6,4",N/A,"3,11,12",N/A,N/A,3,N/A,N/A,3a3186a9-6cb7-44bf-8db6-c59118b64dda,88c32d07-4ac3-48e8-a06d-446858b8403c,N/A,2,38d67280-e29e-4bad-abba-0a311f758609,N/A,be7ac3f6-b418-42f0-9a9b-777e6265f312,N/A,Android_data_check
"2022-01-17 15:27:35","2022-01-17 15:27:34",ceili-pw0jk,27.90,0.00,"2,4,5,6",50.00,N/A,100.00,69.97,5,"4,6",NA,"3,11,12",N/A,NA,3,N/A,NA,32BDBC3E-9357-4740-86A0-CA8F5D9D6C4E,71F34174-8282-4E85-8BED-350613C4FDF5,NA,2,B640BFCE-CDF0-4713-A3F9-59C2B25BB8CD,N/A,3A5B3800-3FDF-4CB0-B152-00E44B19E693,N/A,"iOS_17Jan2022_updated, iOS_data_check, schedule_check_iOS"
"2022-01-17 16:18:20","2022-01-17 16:18:20",ceili-pw0jk,100.00,15.30,5,50.00,N/A,80.31,15.01,6,"2,4,5",NA,"12,11",N/A,NA,10,N/A,NA,F68FE506-EE92-41F5-8DD0-468154F2D726,B18B01D3-7FE6-4C7A-A0D2-DB3974554FD8,NA,2,C8855235-E64E-4B29-9325-7760B48E1D40,N/A,E82048C1-FC59-45CB-97E3-22C2EC68C79D,N/A,"iOS_17Jan2022_updated, iOS_data_check, schedule_check_iOS"
"2022-01-17 16:18:23","2022-01-17 16:18:19",gush-wv4rx,99.00,28.00,N/A,50.00,N/A,76.00,N/A,6,"2,4,5",N/A,"12,11",N/A,N/A,10,N/A,N/A,f469d96c-01c9-4209-819c-e223182508c4,efacaf80-0a4b-4e7c-a54c-04e3a421fdf2,N/A,2,6f2617fc-1fb4-4a69-8a74-8f6652f85ab2,N/A,b2ecf607-beb1-4a6d-a439-48fef967cfd4,N/A,no_scheduler_check
"2022-01-17 17:15:00","2022-01-17 17:14:59",curdy-ls0rn,79.32,16.71,N/A,24.50,N/A,79.46,N/A,6,3,NA,5,80.31,NA,N/A,6,NA,D82C57AB-8DD4-4AE5-892C-ADFBF7110B84,38B2F18B-00A5-4DA0-A2F4-15AAB13FE17C,NA,2,88D043B6-F9AB-4205-8BAB-9494E692BD27,N/A,A5CA45B9-137F-4D7A-A0E0-8C70823536D4,N/A,tired_iOS
"2022-01-17 21:03:20","2022-01-17 21:03:19",gush-wv4rx,24.00,N/A,4,31.00,N/A,N/A,23.00,1,1,N/A,"3,1,2,4,5,6,7,8,9,10,11,12",22.00,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_scheduler_check
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,19.97,N/A,N/A,81.59,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,86.54,19.26,N/A,14.02,N/A,80.59,N/A,6,4,NA,2,85.84,NA,N/A,6,NA,A5452025-8101-4BC6-B7A3-0998D2B0137B,203D2990-8A79-4EAE-ABA1-3E49B15AEC2F,NA,N/A,0B4FF379-5A9C-4CE6-B97B-3C5667664ADA,N/A,033197FE-EFCE-482C-8F65-8EE939B0CDD3,N/A,tired_iOS
"2022-01-18 09:09:08","2022-01-18 09:09:08",frug-xl3j7,71.39,74.08,"2,3",75.21,N/A,23.51,17.42,1,"4,2,3",NA,"1,2,6",19.69,NA,N/A,1,NA,25D34B51-7A6D-4FA7-9F4D-B86FD3A41EBD,74A95813-8307-4F77-847C-28A5CF79A126,NA,1,5143A79C-78FE-4A3F-A330-58CAC91CE7E6,"1,2,3,4,5",31A4C873-8528-4E5D-A2F4-4A5F7C6826FB,N/A,iOS_18Jan2022
"2022-01-18 09:09:10","2022-01-18 09:09:07",idol-pp00v,85.00,N/A,"2,3",24.00,N/A,N/A,14.00,1,"2,3,4",N/A,"1,2,6",18.00,N/A,N/A,1,N/A,d651e2a2-8796-42c5-a5c0-0fb0a0018ae4,f0a7ed9b-e04f-4062-a985-bd1063b999c2,N/A,1,1bf2e199-136c-48f0-9b8e-77bb8d4cda1e,"1,2,3,4,5",ce4545db-0e27-4fef-8db9-54bcc5ef873b,N/A,Android_18Jan2022
"2022-01-18 13:24:53","2022-01-18 13:24:53",dwale-fl91i,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-18 14:12:01","2022-01-18 14:12:01",dwale-fl91i,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-18 14:13:26","2022-01-18 14:13:26",dwale-fl91i,N/A,67.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-18 19:12:19","2022-01-18 19:12:16",idol-pp00v,N/A,66.00,N/A,21.00,N/A,N/A,N/A,9,1,N/A,"2,1,3",80.00,N/A,N/A,2,N/A,2a1eea09-a937-4a3b-9e34-35183285f802,daed1d3a-7093-4f56-8a33-9477b308f855,N/A,1,dfec442f-4681-45a1-81a0-1366bd642ff4,"5,4,3",95f8e161-c6fb-4f65-92e3-64eb07098797,N/A,Android_18Jan2022
"2022-01-19 07:16:15","2022-01-19 07:16:14",idol-pp00v,88.00,15.00,N/A,21.00,N/A,84.00,N/A,5,"6,7",N/A,"5,4,2",88.00,N/A,N/A,5,N/A,58e6dcad-edd7-4fc3-a0e3-498702b1a9a0,4249b8a3-262e-4e16-b373-51fb9b5e516b,N/A,1,85a56184-1233-4e55-8e78-0a120803642b,"1,5",95f08822-4e8c-4e9e-82cc-152413933656,N/A,Android_18Jan2022
"2022-01-19 08:22:33","2022-01-19 08:22:33",frug-xl3j7,17.42,22.80,2,89.09,N/A,76.77,83.00,6,3,NA,6,19.41,NA,N/A,6,NA,82DE45D0-8A88-4802-AEDB-7CCF8F07A738,D9CF1836-7193-45BF-AD9B-5D6DBC9D9C76,NA,2,8C1C6749-87FF-451B-A270-9BD7ADD1DE94,N/A,96BCA9C5-D2CE-4793-A6FB-155104DE6CF1,N/A,iOS_18Jan2022
